LAST_UPDATE,FREQUENCY,DESTINATION,PURPOSE,DURATION,UNIT,COUNTRY,TIME_PERIOD,OBS_VALUE
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,CZ,2020,22635926
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,CZ,2021,25415885
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,CZ,2022,32086388
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,DE,2012,199765991
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,DE,2013,207226639
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,DE,2014,197188861
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,DE,2015,210083293
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,DE,2016,213495421
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,DE,2017,202296144
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,DE,2018,225708302
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,DE,2019,219584535
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,DE,2020,126363886
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,DE,2021,156531167
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,DE,2022,191695483
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,DK,2012,26443296
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,DK,2013,29281207
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,DK,2014,30211808
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,DK,2015,30118473
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,DK,2016,27320116
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,DK,2017,23658365
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,DK,2018,15262792
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,DK,2019,26018826
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,DK,2020,19504887
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,DK,2021,14854001
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,EE,2012,2513880
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,EE,2013,2449846
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,EE,2014,3285966
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,EE,2015,3293653
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,EE,2016,3743081
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,EE,2017,3830927
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,EE,2018,5520344
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,EE,2019,4376654
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,EE,2020,2366437
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,EE,2021,2499215
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,EE,2022,3337308
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,EL,2012,6778200
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,EL,2013,5162644
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,EL,2014,5971715
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,EL,2015,5452536
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,EL,2016,5192322
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,EL,2017,5917301
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,EL,2018,6318386
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,EL,2019,5781321
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,EL,2020,4603998
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,EL,2021,5053178
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,EL,2022,6652808
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,ES,2012,124268339
01/02/2024 23:00,A,WORLD,Personal,N_GE1,NR,ES,2013,121547454
